date,temperature,oxygen,chla
2018-11-01,20.514,6.045,3.818
2018-12-01,17.485,8.073,1.465
2019-01-01,17.063,8.568,0.952
2019-02-01,18.853,9.088,0.313
2019-03-01,20.739,8.13,0.702
2019-04-01,24.223,7.87,0.427
2019-05-01,28.802,6.873,0.326
2019-06-01,30.683,6.041,1.053
2019-07-01,31.618,5.215,1.343
2019-08-01,31.21,5.753,1.933
2019-09-01,29.889,5.944,1.985
2019-10-01,27.373,5.974,1.516
2019-11-01,21.554,7.296,1.583
2019-12-01,18.169,8.692,1.776
2020-01-01,17.889,8.306,1.896
2020-02-01,17.643,8.598,2.11
2020-03-01,22.232,8.268,1.834
2020-04-01,25.234,7.421,1.963
2020-05-01,26.835,7.166,1.287
2020-06-01,29.708,6.846,2.856
2020-07-01,31.421,6.105,2.615
2020-08-01,31.424,6.069,1.782
2020-09-01,29.677,6.694,2.222
2020-10-01,26.943,7.319,2.663
2020-11-01,23.219,7.944,3.103
2020-12-01,17.062,8.936,1.767
2021-01-01,15.935,9.931,1.603
2021-02-01,17.782,8.951,0.755
2021-03-01,21.266,8.249,2.182
2021-04-01,23.866,7.896,2.803
2021-05-01,27.235,7.307,2.384
2021-06-01,29.275,6.722,2.856
2021-07-01,30.214,6.569,2.763
2021-08-01,31.061,6.431,5.04
2021-09-01,29.795,6.226,6.85
2021-10-01,27.068,6.384,5.002
2021-11-01,20.028,7.736,1.861
2021-12-01,19.067,8.371,1.541
2022-01-01,16.626,8.683,1.076
2022-02-01,17.129,9.446,1.177
2022-03-01,21.452,8.336,1.184
2022-04-01,24.654,7.715,1.295
2022-05-01,28.374,7.357,1.301
2022-06-01,31.134,7.136,1.239
2022-07-01,31.668,6.914,1.177
2022-08-01,31.726,6.693,1.115
2022-09-01,29.816,6.471,1.052
2022-10-01,24.809,7.276,1.077
2022-11-01,22.007,7.85,1.164
2022-12-01,18.61,8.861,1.499
2023-01-01,16.637,10.069,1.33
2023-02-01,19.889,9.46,1.381
2023-03-01,22.851,8.084,1.652
2023-04-01,24.992,7.731,1.462
2023-05-01,27.254,7.274,1.656
2023-06-01,29.074,7.533,2.169
2023-07-01,31.946,6.798,2.464
2023-08-01,32.384,5.759,4.632
2023-09-01,30.506,5.692,4.566
2023-10-01,25.356,6.643,3.425
2023-11-01,21.345,7.603,2.764
2023-12-01,17.428,9.219,2.382
2024-01-01,15.846,10.074,2.385
2024-02-01,16.977,9.081,1.159
2024-03-01,21.789,8.363,1.257
2024-04-01,24.408,7.734,1.539
2024-05-01,28.731,6.965,1.759
2024-06-01,30.753,6.698,2.762
2024-07-01,31.659,6.174,3.564
2024-08-01,31.272,6.329,3.799
2024-09-01,29.907,5.624,5.108
2024-10-01,25.864,6.847,4.115
2024-11-01,23.521,6.957,3.69
2024-12-01,17.272,8.28,1.544
2025-01-01,14.236,6.04,1.662
2025-02-01,18.754,8.868,0.635
2025-03-01,19.989,8.627,1.672
2025-04-01,25.806,7.763,1.152
2025-05-01,28.934,6.954,1.281
2025-06-01,31.018,6.529,1.509
2025-07-01,31.654,6.635,1.912
2025-08-01,32.337,6.224,3.655
2025-09-01,29.175,6.52,3.687
2025-10-01,25.67,6.858,3.069
2025-11-01,20.663,7.983,2.045
2025-12-01,17.942,8.757,2.105
2026-01-01,16.273,9.586,1.481
2026-02-01,15.79,9.838,1.366
2026-03-01,21.961,8.543,1.223
2026-04-01,24.691,8.079,1.271
2026-05-01,28.03,7.481,1.741
2026-06-01,31,7.168,2.571
